Year,Date_MM_DD,Content,Vertical_Selftranscendence,Horizontal_Selftranscendence,Self_Actualization,Order,Well_Being
1857,04-27,"I hear the prolonged die die die die die, etc., of the chip-bird this morning as I go down the street. It is a true April morning with east wind, the sky overcast with wet-looking clouds, and already some drops have fallen. It will surely rain to-day, but when it will begin in earnest and how long it will last, none can tell. The gardener makes haste to get in his peas, getting his son to drop them. He who requires fair weather puts off his enterprises and resumes them in his mind many times in the forenoon, as the clouds fall lower and sprinkle the fields, or hft higher and show fight streaks. He goes half ile and is overtaken by thick sprinkling drops, falling faster and faster. He pauses and says to himself, this may be merely a shower, which will soon be over, or it may come to a steady rain and last all day. He goes a few steps further, thinking over the condition of a wet man, and then returns. Again it holds up and he regrets that he had not persevered; but the next hour it is stiller and darker, with mist beneath the investing cloud, and then commences a gentle, deliberate rain, which will probably last all day. So he puts on patience and the house. I dig up those reddish-brown dor-bugs in the garden. They stir a little.",,1,,,
1856,04-11,"Going by the path to the Springs, I find great beds of oak leaves, sometimes a foot thick, very dry and crisp and filling the path, or one side of it, in the woods for a quarter of ile, inviting one to lie down. They have absorbed the heat and settled, like the single one seen yesterday, in mass a foot or more, making a path to JOURNAIv that depth. Yet when they are unusually thick they preserve the snow beneath and are found to cover an almost icy mound.",,1,,,
1860,08-28,"About .paddled on Walden. Near the shore I see at least one little skater to a foot, further off one to a yard, and in middle not more than one to a rod; but I see no gyrinus at all here to-night. At first the sky was completely overcast, but, just before setting, the sun came out into a clear space in the horizon and fell on the east end of the pond and the hillside, and this sudden blaze of light on the still very fresh green leaves was a wonderful contrast with the previous and still surrounding darkness. Indeed, the bright sunlight was at this angle reflected from the water at the east end — while I in the middle was in the shade of the east woods — up under the verdure of the bushes and trees on the shore and on Pine Hill, especially to the tender under sides and to the lower leaves not often lit up. Thus a double ount of light fell on them, and the most vivid and varied shades of green were revealed. I never saw such a green glow before.",,1,,,
1852,10-20,"It is a counting of meeting-houses. At the public house, the mountain-house, they keep a glass to let, and think the journey to the mountain-top is lost, that you have got but half the view, if you have not taken a glass with you.",,1,,,1
1851,07-19,"Here is the Canada thistle in bloom, visited by butterflies and bees. The butterflies have swarmed within these few days, especially about the milkweeds. The swamp-pink still fills the air with its perfume in swamps and by the causeways, though it is far gone. The wild rose still scatters its petals over the leaves of neighboring plants. The wild morning-glory or bindweed, with its delicate red and white blossoms. I remember it ever as a goblet full of purest morning air and sparkling with dew, showing the dew-point, winding round itself for want of other support. It grows by the Hubbard Bridge causeway, near the angelica. The cherry-birds are making their seringo sound as they flit past. They soon find out the locality of the cherry trees. And beyond the bridge there is a goldenrod partially blossomed. Yesterday it was spring, and to-morrow it will be autumn. Where is the summer then ? First came the St. John’s-wort and now the goldenrod to admonish us. I hear, too, a cricket id these stones under the blackberry vines, singing as in the fall. Ripe blackberries are multiplying. I see the red-spotted berries of the small Solomon’sseal in my path. I notice, in the decayed end of an oak post, that the silver grain is not decayed, but remains sound in thin flakes, alternating with the decayed portions and giving the whole a honeycombed look.",,1,,,
1853,10-31,"A good deal of a small green hypnum-like river-weed forms the mouthfuls in their masonry. It makes a good sponge to mop the boat with. The wind has risen and sky overcast. I stop at Lee’s Cliff, and there is a Veronica serpyllifolia out. Sail back. Scared up two small ducks, perhaps teal. I had not seen any of late. They have probably almost all gone south.",,1,,,
1854,08-27,") I find next day has moistened the ground about an inch down only. But now it is about as dry as ever. To Pine Hill via Turnpike and Walden. Small Bidens chrysanthemoides, some time by Turnpike. The leaves of the smallest hypericum are very many of them turned to a somewhat crimson red, sign of the ripening year. What I have called the Castilesoap gall, about one inch in diameter, handsomely variegated with a dirty white or pale tawny on a crimson ground; hard and perfectly smooth; solid and hard except a very small cavity in the centre containing some little grubs; full of crimson juice (which runs over the knife, and has stained this page and blues my knife with its acid) for an eighth of an inch from the circumference, then lighter-colored. Many red oak acorns have fallen. The great green acorns in broad, shallow cups. How attractive these forms! No wonder they are imitated on pumps, fence and bed posts. Is not this a reason that the pigeons are about? The yellow birch is yellowed a good deal, the leaves spotted with green. The dogsbane a clear yellow. The cinnamon ferns hardly begun to turn or fall. The lice on the birches make it very disagreeable to go through them. I surprised to find the brook and ditches in Hubbard’s Close remarkably full after this long drought, when so many streams are dried up. Rice and others are getting out mud in the pond-hole opposite Breed’s.",,1,,,
1857,12-18,"If the case is desperate and it is necessary, you may make him think that you wish him to anywhere else but into that field, and he will be pretty sure to go there. Having got him into that inclosure and put up the fence, you can contract it at your leisure. When you have him in your hands, if he is obstinate, do not try to drive him with a rope round one leg. Spare the neighbors’ ears and your pig’s feelings, and put him into a cart or wheelbarrow. The brick above described appears to be of the same size with those of Governor Craddock’s house in Medford, said to have been built in and measured by Brooks. (Vide Book of Facts.) It is remarkable that though Elwell, the last occupant of this house, never has seen this inscription, it being in this obscure nook in the cellar, the inscriber’s purpose is served, for now nothing stands but the other chimney and the foundation of this, and the inscription is completely exposed to the daylight and to the sun, and far more legible even a rod or two off than it could have been when made. There it is, staring all visitors in the face, on that clear space of mortar just lifted above the mouldering ruins of the chimney around it. Yesterday you could not get within a rod of it, but distinctly read it over the furnace of hot bricks and coals.",,,1,,
1860,11-02,"S. George Minott tells me that sixty years ago wood was only two or three dollars a cord here — and It is not those far-fetched fruits which the speculator imports that concerns us chiefly, but rather those which you have fetched yourself in your basket from some far hill or swamp, journeying all the long afternoon in the hold of a basket, consigned to your friends at home, the first of the season. We cultivate imported shrubs in our front yards for the beauty of their berries, when yet more beautiful berries grow unregarded by us in the surrounding fields. As some beautiful or palatable fruit is perhaps the noblest gift of nature to man, so is a fruit with which an has in some measure identified himself by cultivating or collecting it one of the most suitable presents to a friend. It was some compensation for Commodore Porter, who may have introduced some cannon-balls and bombshells into ports where they were not wanted, to have introduced the Valparaiso squash into the United States. I think that this eclipses his military glory. As I sail the unexplored sea of Concord, many a dell and swamp and wooded hill is my Ceram and boyna. At first, perchance, there would be an abundant crop of rank garden weeds and grasses in the cultivated land, — and rankest of all in the cellar-holes, — and of pinweed, hardback, sumach, blackberry, thimble-berry, raspberry, etc., in the fields and pastures.",,,,,
1854,09-09,"Plainly all its motions were as much the result of what is called instinct as is the act of sucking in infants. Our own subtlest is likewise but another kind of instinct. The wise man is a wise infant obeying his finest and never-failing instincts. It does not so much impress me as an infantile beginning of life as an epitome of all the past of turtledom and of the earth. I think of it as the result of all the turtles that have been. The little snapping turtle lies almost constantly on the mud with its snout out of water. It does not keep under water long. Yesterday in the cold rain, however, it lay buried in the mud all day! Surveying this forenoon, I saw a small, round, bright-yellow gall (some are red on one side), as big as oderate cranberry, hard and smooth, saddled on a white oak twig. So I have seen them on the swamp white, the chinquapin, and the white, not to mention the Castile-soap one on the ilicifolia acorn edge. This is a cold evening with a white twilight, and threatens frost, the first in these respects decidedly autumnal evening. It makes us think of wood for the winter. For a week or so the evenings have been sensibly longer, and I beginning to throw off my summer idleness. This twilight is succeeded by a brighter starlight than heretofore.",,,1,,
1859,03-26,"not I a trapper too, early and late scanning the rising flood, ranging by distant wood-sides, setting my traps in solitude, and baiting them as well as I know how, that I may catch hfe and light, that my intellectual part I And washed up on the (Cardinal) shore a little bream about an inch and an eighth long, very much hke those found at Walden last fall. It has about seven transverse bars, a similar dorsal fin, a reddish-copper iris, with the black vertical dash through the eye. I think it must be one of the common breams of the river, — though I see only the black spot on the operculum and not any red one,—and apparently all the young are thus striped (?). rising above the water. By their color they have relation to the white clouds and the sky and to the snow and ice still lingering in a few locahties. In order to see these silvery buttons in the greatest profusion, you must sail id them on some flooded meadow or swamp like this. Our whole course, as we wind about in this bay, is lined also with the alder, whose pretty tassels, now many of them in full bloom, are hanging straight down, suggesting in a pecuhar manner the influence of gravity, or are regularly blown one side. What was that large rather grayish duck on Fair Haven Pond this afternoon ? It was far off.",,1,1,,
1859,10-22,"To Cliffs and Fair Haven. I surprised to find in the field behind the top of the Cliffs a little vetch still perfectly fresh and blooming, where Wheeler had grain a year or two since, with numerous little plump pods four or five eighths of an inch long and commonly four roundish seeds to each. It must be, I think, Gray’s Vida tetrasperma, though he makes that have white flowers (apparently same as Bigelow’s V. pusilla, also made to have white flowers, but Dewey calls them “bluish white’’), while these are purple. Otherwise it corresponds. It was evidently far from being a wild and desperate and insane attempt. It was a well-matured plan. The very fact that he had no rabble or troop of hirelings about him would alone distinguish him from ordinary heroes. His company was small indeed, because few could be found worthy to pass muster. He would have no rowdy or swaggerer, no profane swearer, for, as he said, he always found these men to fail at last. He would have only men of principle, and they are few. When it was observed that if he had had a chaplain his would have been a perfect Cromwellian company, he said that he would have had a chaplain if he could found one who could perform that service suitably. arsh hawk sails over Fair Haven Hill.",,,,,1
1838,08-10,"Nor can all the vanities that so vex the world alter one whit the measure that night has chosen, but ever it must be short particular metre. The human soul is a silent harp in God’s quire, whose strings need only to be swept by the divine breath to chime in with the harmonies of creation. Every pulse-beat is in exact time with the cricket’s chant, and the tickings of the deathwatch in the wall. Alternate with these if you can.",1,,,,
1852,12-28,"Brought my boat from Walden in rain. No snow on ground. Grass in the churchyard and elsewhere green as in the spring. I omitted some observations apparently between the th and d, to the effect that the berries that hold on into winter are to be remarked, — the winterberry, alder and birch fruit, smilax, pyrus, hips, etc. Both for bodily and mental health, court the present. Embrace health wherever you find her. A clump of birches raying out from one centre make ore agreeable object than a single tree. The rosettes in the ice, as Channing calls them, now and for some time have attracted me. It is worth the while to apply what wisdom one has to the conduct of his life, surely. I find myself oftenest wise in little things and foolish in great ones. That I may accomplish some particular petty affair well, I live my whole life coarsely. A broad margin of leisure is as beautiful in an’s life as in a book. Haste makes waste, no less in life than in housekeeping. Keep the time, observe the hours of the universe, not of the cars. What are threescore years and ten hurriedly and coarsely lived to moments of divine leisure in which your life is coincident with the life of the universe ? We live too fast and coarsely, just as we eat too fast, and do not know the true savor of our food.",1,,,,
1837,12-27,"Revolutions are never sudden. Not one man, nor many men, in a few years or generations, suffice to regulate events and dispose mankind for the revolutionary movement. The hero is but the crowning stone of the pyramid, — the keystone of the arch. Who was Romulus or Remus, Hengist or Horsa, that we should attribute to them Rome or England ? They are famous or infamous because the progress of events has chosen to make them its stepping-stones. But we would know where the avalanche commenced, or the hollow in the rock whence springs the azon. The most important is apt to be some silent and unobtrusive fact in history. In three Saxon cyules arrived on the British coast, — “Three scipen gode comen mid than flode, three hundred cnihten.” The pirate of the British coast was no more the founder of a state than the scourge of the German shore. The real heroes of minstrelsy have been ideal, even when the names of actual heroes have been perpetuated.",,,1,,
1840,02-26,"The most important events make no stir on their first taking place, nor indeed in their effects directly. They seem hedged about by secrecy. It is concussion, or the rushing together of air to fill a vacuum, which makes a noise. The great events to which all things consent, and for which they have prepared the way, produce no explosion, for they are gradual, and create no vacuum which requires to be suddenly filled; as a birth takes place in silence, and is whispered about the neighborhood, but an assassination, which is at war with the constitution of things, creates a tumult immediately. Corn grows in the night.",,,1,,
1842,01-08,"Because of the perfect time of this music-box — its harmony with itself — is its greater dignity and stateliness. This music is more nobly related for its more exact measure. So simple a difference as this more even pace raises it to the higher dignity. Man’s progress through nature should have an accompaniment of music. It relieves the scenery, which is seen through it as a subtler element, like a very clear morning air in autumn. Music wafts me through the clear, sultry valleys, with only a slight gray vapor against the hills. gives all music a plaintive air. It hath caught a higher pace than any virtue I know. It is the arch-reformer. It hastens the sun to his setting. It invites him to his rising. It is the sweetest reproach, easured satire. Of what manner of stuff is the web of time wove, when these consecutive sounds called a strain of music can be wafted down through the centuries from Homer to me, and Homer have been conversant with that same unfathomable mystery and charm which so newly ' I know there is a people somewhere this heroism has place. Or else things are to be learned which it will be sweet to learn. This cannot be all rumor.",1,1,,,
1855,05-30,"Saw bird’s nest on an apple by roadside, seven feet high; one egg. Cherry-bird on a cherry; also pecking at the apple blossoms. Minott says that within two or three days a stream of winged ants came out from under his doorsill, and the hens and countless swallows and the kingbirds came and fed on them. Buttonwood flowers now effete; fertile flowers were not brown on the th, but were the th; say, then, about the th. Nuttall thus describes the note of the white-eyed vireo: It is much varied; in March in Florida, “ ss’t (with a whistle) wd witte witte we-wa (the first part very quick);” in June at Fresh Pond, “'tshippeweewd-say tshippewee-wee-was-say, sweetly whistled,” with great compass of voice and loudness, etc., etc.; other variations. Also “ ’whip te wax wee, the last syllable but one considerably lengthened and clearly whistled.” Lepidium virginicum, roadside bank at Minott’s. The myrica, bayberry, plucked on the d, now first sheds pollen in house, the leaf being but little more expanded on the flowering shoot. Gray says, “somewhat preceding the flowers.” The catkins about a quarter of an inch long, erect, sterile, oval, on the sides of last year’s twigs. Up railroad. A strong west wind and much haze. Silvery potentilla, four or five days at least.",,1,,,
1845-1847,10-21,"Rich, silent, deep, they stand.” The moon in “Autumn — “Her spotted disk, Where mountains rise, umbrageous dales descend, . . . gives all his blaze again. Void of its flame, and sheds a softer day. Now through the passing cloud she seems to stoop, Now up the pure cerulean rides sublime. The whole air whitens with a boundless tide Of silver radiance, trembling round the world.” My friend, thou art not of some other race and family of men; — thou art flesh of my flesh, bone of my bone. Has not nature associated us in many ways? Water from the same fountain, lime from the same quarry, grain from the same field compose our bodies. And perchance our elements but reassert their ancient kindredship. Is it of no significance that I have so long partaken of the same loaf with thee, have breathed the same air summer and winter, have felt the same heat and cold, the same fruits of summer have been pleased to refresh us both, and thou hast never had a thought of different fibre from my own ? Our kindred, of one blood with us. With the favor and not the displeasure of the gods, we have partaken the same bread. It is hard to know rocks. They are crude and inaccessible to our nature. We have not enough of the stony element in us. It is hard to know men by rumor only. But to stand near somewhat living and conscious.",,1,,,
1840,06-16,"So let our life stand to heaven as some fair, sunlit tree against the western horizon, and by sunrise be planted on some eastern hill to glisten in the first rays of the dawn. Would it not be a luxury to stand up to one’s chin in some retired swamp for a whole summer’s day, scenting the sweet-fern and bilberry blows, and lulled by the minstrelsy of gnats and mosquitoes ? A day passed in the society of those Greek sages, such as described in the “ Banquet” of Xenophon, would not be comparable with the dry wit of decayed cranberry vines, and the fresh Attic salt of the moss beds. Say twelve hours of genial and familiar converse with the leopard frog. The sun to rise behind alder and dogwood, and climb buoyantly to his meridian of three hands’ breadth, and finally sink to rest behind some bold western hummock. To hear the evening chant of the mosquito from a thousand green chapels, and the bittern begin to boom from his concealed fort like a sunset gun! Surely, one may Why always insist that men incline to the moral side of their being ? Our life is not all moral. Surely, its actual phenomena deserve to be studied impartially. The science of Human Nature has never been attempted, as the science of Nature has. The dry light has never shone on it. Neither physics nor metaphysics have touched it.",,1,,,
1837,10-22,"“ What are you doing now ? ” he asked. “ Do you keep a journal ? ” So I make my first entry to-day. To be alone I find it necessary to escape the present, — I avoid myself. How could I be alone in the Roman emperor’s chamber of mirrors ? I seek a garret. The spiders must not be disturbed, nor the floor swept, nor the lumber arranged. The Germans say, “ Es ist alles wahr wodurch du besser wirst.”",1,,,,
1837,10-24,"Every part of nature teaches that the passing away of one life is the making room for another. The oak dies down to the ground, leaving within its rind a rich virgin mould, which will impart a vigorous life to an infant forest. The pine leaves a sandy and sterile soil, the harder woods a strong and fruitful mould. So this constant abrasion and decay makes the soil of my future growth. As I live now so shall I reap. If I grow pines and birches, my virgin mould will not sustain the oak; but pines and birches, or, perchance, weeds and brambles, will constitute my second growth.",1,,,,
1837,10-25,"She appears, and we are once more children; we commence again our course with the new year. Let the maiden no more return, and men will become poets for very grief. No sooner has winter left us time to regret her smiles, than we yield to the advances of poetic frenzy. “The flowers look kindly at us from the beds with their child eyes, and in the horizon the snow of the far mountains dissolves into light vapor.” — Goethe, Torquato Tasso. “He seems to avoid — even to flee from us,— To seek something which we know not, And perhaps he himself after all knows not.” — Ibid.",1,,,,
1837,10-26,"“His eye hardly rests upon the earth; His ear hears the one-clang of nature; What history records, — what life gives, — Directly and gladly his genius takes it up: His mind collects the widely dispersed, And his feeling animates the inanimate. Often he ennobles what appeared to us common, And the prized is as nothing to him. In his own magic circle wanders The wonderful man, and draws us With him to wander, and take part in it: He seems to draw near to us, and remains afar from us: He seems to be looking at us, and spirits, forsooth, Appear to him strangely in our places.” — Ibid. “ A noble man has not to thank a private circle for his culture. Fatherland and world must work upon him. Fame and infamy must he learn to endure. He will be constrained to know himself and others. Solitude shall no more lull him with her flattery. The foe will not, the friend dares not, spare him. Then, striving, the youth puts forth his strength, feels what he is, and feels himself soon an.” “ A talent is builded in solitude, A character in the stream of the world.” “ He only fears man who knows him not, and he who avoids him will soonest misapprehend him.” — Ibid. “As nature decks her inward rich breast in a green variegated dress, so clothes he all that can make men honorable in the blooming garb of the fable. . . .",1,,,,
